iso_alpha_3,year,frac_trns_mtkm_dem_freight_water_borne,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_aviation
CHL,2018,0.04868035934359999,0.9333469281046045,0.013601381699014708,0.004371330852780778
CHL,2019,0.04389568474241897,0.9408905872805143,0.01086575106984101,0.004347976907225602
CHL,2020,0.03151758400424565,0.9508384396225033,0.012542340684026569,0.005101635689224482
CHN,2011,0.20551054857354037,0.6710980170975716,0.12269335765480174,0.000698076674086423
CHN,2012,0.20346028181049364,0.6847654018307028,0.11118126182558678,0.0005930545332168742
CHN,2013,0.19257395806233035,0.6914410567336443,0.11535023909484898,0.0006347461091763155
CHN,2014,0.2102542694507764,0.6855924307134752,0.10348336620780844,0.0006699336279399817
CHN,2015,0.20855543627544482,0.6993397971862523,0.09134317427387342,0.0007615922644295372
CHN,2016,0.21391002993087554,0.6976700949165041,0.08763515462977822,0.0007847205228421671
CHN,2017,0.18922977645129635,0.7173458843105889,0.09262310432494267,0.0008012349131720952
CHN,2018,0.170393935105706,0.7342036990958136,0.09457360532442761,0.0008287604740527415
CHN,2019,0.186888550566375,0.7078673135841597,0.10436601907958498,0.0008781167698803911
