iso_alpha_3,year,frac_trns_mtkm_dem_freight_rail_freight
GNB,2011,0.16546762584079538
GNB,2012,0.16546762595356576
GNB,2013,0.16546762587513178
GNB,2014,0.16546762592560396
GNB,2015,0.16546762591244926
GNB,2016,0.1654676259358919
GNB,2017,0.16546762588044595
GNB,2018,0.16546762595798686
GNB,2019,0.16546762594557812
GNB,2020,0.1654676259046588
GNB,2021,0.16546762594908498
GNQ,2011,0.16546762586279673
GNQ,2012,0.16546762588779515
GNQ,2013,0.1654676259250557
GNQ,2014,0.1654676258602127
GNQ,2015,0.1654676258862909
GNQ,2016,0.16546762588459132
GNQ,2017,0.1654676259076153
GNQ,2018,0.16546762590056588
GNQ,2019,0.16546762590972697
GNQ,2020,0.16546762593181594
GNQ,2021,0.16546762589436667
GRC,2011,0.0073656501232490885
GRC,2012,0.005944416554464929
GRC,2013,0.005322682005532905
GRC,2014,0.007621917345528401
GRC,2015,0.0063731408962717125
GRC,2016,0.004450503047017638
GRC,2017,0.005409096952774655
GRC,2018,0.005975386679281372
GRC,2019,0.007441378306942458
GRC,2020,0.009301686370599298
GRC,2021,0.01163734885515822
GTM,2011,0.24759721388093803
GTM,2012,0.2427392798652158
GTM,2013,0.23838920631636895
GTM,2014,0.23446331064152814
GTM,2015,0.23089782857366947
GTM,2016,0.22722347893368744
GTM,2017,0.22389090203941553
GTM,2018,0.22085932334066474
GTM,2019,0.21807330183560636
GTM,2020,0.21550535599505513
GTM,2021,0.21594298168418974
GUY,2011,0.1654676258421715
GUY,2012,0.16546762595846579
GUY,2013,0.16546762587748723
GUY,2014,0.16546762588125116
GUY,2015,0.16546762586781447
GUY,2016,0.1654676259369002
GUY,2017,0.16546762591441136
GUY,2018,0.16546762591957123
GUY,2019,0.16546762595450554
GUY,2020,0.1654676259171431
GUY,2021,0.16546762589928057
HND,2011,0.16546762593883274
HND,2012,0.1654676259377347
HND,2013,0.16546762588966793
HND,2014,0.1654676259331159
HND,2015,0.16546762587301536
HND,2016,0.16546762587744118
HND,2017,0.16546762583999422
HND,2018,0.1654676258645398
HND,2019,0.16546762594259495
HND,2020,0.16546762588357788
HND,2021,0.16546762590528943
HRV,2011,0.09706959706959707
HRV,2012,0.09647526063213635
HRV,2013,0.08375828146958442
HRV,2014,0.08353043204036581
HRV,2015,0.07773662844526744
HRV,2016,0.07208890965524146
HRV,2017,0.08104558814333063
HRV,2018,0.08080956870139053
HRV,2019,0.08693964101185676
HRV,2020,0.09616963866729235
HRV,2021,0.08615819209039548
HTI,2011,0.1654676259238773
HTI,2012,0.16546762595403294
HTI,2013,0.1654676258968963
HTI,2014,0.1654676258871314
HTI,2015,0.16546762586630598
HTI,2016,0.16546762589299738
HTI,2017,0.1654676259315409
HTI,2018,0.16546762588282868
HTI,2019,0.16546762591424194
HTI,2020,0.16546762593059308
HTI,2021,0.1654676259455699
HUN,2011,0.0837110874958973
HUN,2012,0.08564448168386515
HUN,2013,0.08565608579353025
HUN,2014,0.08578935411375915
HUN,2015,0.08381185061072151
HUN,2016,0.08406760992815662
HUN,2017,0.08848535943417561
HUN,2018,0.08661296778267247
HUN,2019,0.08701978313325569
HUN,2020,0.10461812443883373
HUN,2021,0.09501121567247985
IDN,2011,0.2895739663147295
IDN,2012,0.2832012673857479
IDN,2013,0.2778319411209571
IDN,2014,0.27323773121926326
IDN,2015,0.2692408673966689
IDN,2016,0.26640246598937384
IDN,2017,0.26384111697358825
IDN,2018,0.2615207041933275
IDN,2019,0.2594066825734119
IDN,2020,0.2574774393099014
IDN,2021,0.24941860250418746
IND,2011,0.12642888564199037
IND,2012,0.11870829556037604
IND,2013,0.11385349460734909
IND,2014,0.10851739239370298
IND,2015,0.0978472521230004
IND,2016,0.087607520746941
